infectious_period_both,omicron_latent_period,booster_reach,booster_VE,contact_reduction_scenario_id,contact_reduction_strength,contact_reduction_start,contact_reduction_end,relative_risk_hospitalization,relative_risk_icu,value_type,date,value
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-23,52743
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-24,53760
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-25,54613
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-26,55300
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-27,55832
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-28,56222
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-29,56485
2,2,md,lo,0,,,,0.35,0.15,inc,2021-11-30,56635
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-01,56675
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-02,56597
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-03,56380
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-04,56013
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-05,55505
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-06,54878
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-07,54141
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-08,53296
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-09,52341
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-10,51279
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-11,50134
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-12,48941
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-13,47743
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-14,46562
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-15,45384
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-16,44181
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-17,42928
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-18,41590
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-19,40148
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-20,38650
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-21,37169
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-22,35741
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-23,34402
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-24,33201
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-25,32179
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-26,31341
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-27,30675
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-28,30199
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-29,29973
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-30,30052
2,2,md,lo,0,,,,0.35,0.15,inc,2021-12-31,30434
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-01,31113
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-02,32077
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-03,33252
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-04,34592
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-05,36088
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-06,37747
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-07,39588
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-08,41640
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-09,43934
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-10,46507
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-11,49399
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-12,52654
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-13,56316
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-14,60433
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-15,65055
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-16,70236
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-17,76029
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-18,82491
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-19,89676
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-20,97641
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-21,106439
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-22,116125
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-23,126749
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-24,138357
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-25,150990
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-26,164682
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-27,179456
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-28,195323
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-29,212278
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-30,230295
2,2,md,lo,0,,,,0.35,0.15,inc,2022-01-31,249329
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-01,269320
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-02,290191
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-03,311848
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-04,334167
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-05,356998
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-06,380158
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-07,403438
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-08,426601
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-09,449392
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-10,471537
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-11,492752
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-12,512743
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-13,531222
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-14,547907
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-15,562539
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-16,574885
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-17,584744
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-18,591964
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-19,596436
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-20,598104
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-21,596963
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-22,593061
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-23,586489
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-24,577385
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-25,565925
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-26,552315
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-27,536788
2,2,md,lo,0,,,,0.35,0.15,inc,2022-02-28,519593
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-01,500988
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-02,481234
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-03,460588
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-04,439299
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-05,417603
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-06,395719
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-07,373849
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-08,352172
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-09,330846
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-10,310006
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-11,289766
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-12,270219
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-13,251439
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-14,233483
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-15,216388
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-16,200181
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-17,184871
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-18,170459
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-19,156936
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-20,144284
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-21,132480
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-22,121495
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-23,111296
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-24,101847
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-25,93112
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-26,85050
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-27,77623
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-28,70792
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-29,64517
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-30,58762
2,2,md,lo,0,,,,0.35,0.15,inc,2022-03-31,53490
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-23,1422
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-24,1448
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-25,1470
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-26,1490
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-27,1506
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-28,1519
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-29,1529
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-11-30,1537
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-01,1541
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-02,1542
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-03,1539
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-04,1532
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-05,1522
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-06,1508
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-07,1492
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-08,1473
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-09,1450
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-10,1424
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-11,1397
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-12,1369
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-13,1341
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-14,1312
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-15,1281
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-16,1248
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-17,1212
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-18,1173
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-19,1132
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-20,1092
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-21,1052
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-22,1013
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-23,975
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-24,940
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-25,908
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-26,877
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-27,848
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-28,822
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-29,800
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-30,781
2,2,md,lo,0,,,,0.35,0.15,hsp,2021-12-31,765
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-01,751
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-02,739
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-03,728
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-04,718
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-05,709
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-06,701
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-07,695
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-08,691
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-09,689
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-10,690
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-11,693
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-12,699
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-13,708
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-14,721
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-15,738
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-16,759
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-17,784
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-18,814
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-19,850
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-20,891
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-21,938
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-22,991
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-23,1050
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-24,1116
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-25,1188
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-26,1268
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-27,1354
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-28,1447
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-29,1547
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-30,1652
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-01-31,1764
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-01,1882
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-02,2004
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-03,2131
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-04,2261
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-05,2393
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-06,2527
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-07,2660
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-08,2792
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-09,2921
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-10,3046
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-11,3165
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-12,3277
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-13,3380
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-14,3472
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-15,3552
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-16,3620
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-17,3674
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-18,3714
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-19,3739
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-20,3749
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-21,3743
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-22,3724
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-23,3690
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-24,3642
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-25,3582
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-26,3511
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-27,3429
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-02-28,3337
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-01,3238
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-02,3132
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-03,3020
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-04,2904
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-05,2785
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-06,2663
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-07,2541
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-08,2418
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-09,2296
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-10,2175
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-11,2056
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-12,1940
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-13,1827
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-14,1717
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-15,1611
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-16,1509
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-17,1411
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-18,1318
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-19,1229
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-20,1145
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-21,1065
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-22,989
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-23,917
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-24,850
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-25,787
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-26,728
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-27,672
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-28,621
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-29,572
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-30,527
2,2,md,lo,0,,,,0.35,0.15,hsp,2022-03-31,486
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-23,3808
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-24,3924
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-25,4036
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-26,4145
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-27,4250
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-28,4351
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-29,4446
2,2,md,lo,0,,,,0.35,0.15,icu,2021-11-30,4536
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-01,4621
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-02,4699
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-03,4770
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-04,4833
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-05,4888
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-06,4935
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-07,4975
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-08,5006
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-09,5028
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-10,5041
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-11,5047
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-12,5045
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-13,5036
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-14,5021
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-15,4998
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-16,4967
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-17,4928
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-18,4881
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-19,4826
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-20,4765
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-21,4698
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-22,4626
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-23,4550
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-24,4471
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-25,4389
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-26,4304
