value_type,date,95_PI_lower,50_PI_lower,median,50_PI_upper,95_PI_upper
inc,2021-11-23,52572,52715,53448,54173,54292
inc,2021-11-24,53582,53730,54417,55096,55219
inc,2021-11-25,54427,54581,55215,55840,55968
inc,2021-11-26,55108,55267,55844,56412,56543
inc,2021-11-27,55634,55796,56314,56823,56958
inc,2021-11-28,56019,56185,56645,57094,57232
inc,2021-11-29,56277,56447,56850,57244,57384
inc,2021-11-30,56422,56595,56946,57287,57430
inc,2021-12-01,56459,56635,56936,57228,57372
inc,2021-12-02,56378,56556,56809,57051,57198
inc,2021-12-03,56159,56338,56541,56733,56880
inc,2021-12-04,55791,55971,56120,56258,56406
inc,2021-12-05,55282,55463,55559,55642,55790
inc,2021-12-06,54656,54810,54879,54941,55059
inc,2021-12-07,53919,54001,54095,54185,54227
inc,2021-12-08,53077,53097,53191,53299,53342
inc,2021-12-09,52036,52110,52197,52281,52401
inc,2021-12-10,50885,51031,51092,51170,51357
inc,2021-12-11,49657,49808,49911,50043,50231
inc,2021-12-12,48397,48548,48693,48871,49060
inc,2021-12-13,47152,47304,47481,47696,47887
inc,2021-12-14,45947,46100,46299,46541,46734
inc,2021-12-15,44757,44911,45127,45393,45588
inc,2021-12-16,43541,43703,43931,44205,44418
inc,2021-12-17,42270,42449,42682,42964,43200
inc,2021-12-18,40899,41093,41340,41638,41895
inc,2021-12-19,39406,39612,39882,40207,40482
inc,2021-12-20,37855,38069,38365,38718,39008
inc,2021-12-21,36339,36556,36870,37245,37544
inc,2021-12-22,34899,35114,35438,35825,36129
inc,2021-12-23,33570,33780,34102,34491,34797
inc,2021-12-24,32411,32612,32919,33294,33600
inc,2021-12-25,31463,31655,31930,32277,32583
inc,2021-12-26,30721,30906,31137,31444,31751
inc,2021-12-27,30162,30340,30522,30782,31095
inc,2021-12-28,29802,29975,30102,30311,30634
inc,2021-12-29,29712,29885,29944,30091,30429
inc,2021-12-30,29954,30017,30120,30290,30542
inc,2021-12-31,30349,30497,30675,30844,30979
inc,2022-01-01,30988,31305,31551,31650,31758
inc,2022-01-02,31890,32383,32635,32785,32991
inc,2022-01-03,32978,33632,33908,34094,34412
inc,2022-01-04,34198,34962,35312,35541,35955
inc,2022-01-05,35521,36359,36761,37137,37616
inc,2022-01-06,36935,37870,38278,38860,39413
inc,2022-01-07,38442,39486,39947,40693,41396
inc,2022-01-08,40007,41114,41843,42648,43734
inc,2022-01-09,41522,42859,43881,44864,46557
inc,2022-01-10,42894,44746,46071,47395,49825
inc,2022-01-11,44158,46770,48515,50243,53680
inc,2022-01-12,45317,48853,51137,53539,58206
